diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M60.root, at 2026-08-31 15:49:20.163824 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M60.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                   +0.02 +0.97 9.20       +1.00     +84.678
CMS_NPS26009_MCstat_singleTop_BJetOS_2022EE     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.01      -0.047
CMS_NPS26009_MCstat_singleTop_BJetOS_2018     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.01      -0.057
CMS_NPS26009_MCstat_singleTop_BJetOS_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.01      -0.050
CMS_NPS26009_MCstat_other_BJetOS_2022EE      0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.01      -0.058
CMS_NPS26009_MCstat_other_BJetOS_2022        0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.01      -0.055
CMS_NPS26009_MCstat_other_BJetOS_2018        0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.01      -0.089
CMS_NPS26009_LightJetStat_DY_BJetOS_2022     0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.01      -0.130
CMS_scale_m_2023                             0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.014
CMS_scale_m_2022EE                           0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.025
CMS_scale_m_2022                             0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.005
