diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M25.root, at 2026-09-07 11:53:55.338908 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': None, 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                  +0.04 +4.71 83.75       +1.00   +7014.005
CMS_eff_m_trigger_2023BPix                   0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.200
CMS_eff_m_trigger_2023                       0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.137
CMS_eff_m_trigger_2022EE                     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.009
CMS_eff_m_trigger_2022                       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.022
CMS_eff_m_trigger_2018                       0.000000 +/- 0.000000    !-0.00 +/- 1.00 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.321
CMS_eff_m_trigger_2017                       0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.084
CMS_eff_m_trigger_2016preVFP                 0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.261
CMS_eff_m_trigger_2016postVFP                0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.169
CMS_eff_m_id_2023BPix                        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.187
CMS_eff_m_id_2023                            0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.143
CMS_eff_m_id_2022EE                          0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.007
CMS_eff_m_id_2022                            0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.020
CMS_eff_m_id_2018                            0.000000 +/- 0.000000    !-0.00 +/- 1.00 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.167
CMS_eff_m_id_2017                            0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.036
CMS_eff_m_id_2016preVFP                      0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.106
CMS_eff_m_id_2016postVFP                     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.066
CMS_btag_fixedWP_light_uncorrelated_2023BPix     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.113
CMS_btag_fixedWP_light_uncorrelated_2023     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.096
CMS_btag_fixedWP_light_uncorrelated_2022EE     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.010
CMS_btag_fixedWP_light_uncorrelated_2022     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.015
CMS_btag_fixedWP_light_uncorrelated_2017     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.090
CMS_btag_fixedWP_light_uncorrelated_2016preVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.238
CMS_btag_fixedWP_light_uncorrelated_2016postVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.296
CMS_btag_fixedWP_bc_uncorrelated_2022EE      0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.080
CMS_btag_fixedWP_bc_uncorrelated_2022        0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.176
